station_id,resolution,dataset,parameter,date,value,quality
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T03:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T04:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T05:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T06:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T07:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T08:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T09:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T10:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T11:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T12:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T13:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T14:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T15:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T16:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T17:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T18:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T19:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T20:00:00.000000+00:00,0.0,
K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-05-21T21:00:00.000000+00:00,0.0,
