station_id,dataset,parameter,date,value,quality
K2635,large,temperature_air_mean_200,2023-12-04T22:00:00+00:00,274.15,
K2635,large,temperature_air_mean_200,2023-12-04T23:00:00+00:00,274.45,
K2635,large,temperature_air_mean_200,2023-12-05T00:00:00+00:00,274.85,
K2635,large,temperature_air_mean_200,2023-12-05T01:00:00+00:00,275.15,
K2635,large,temperature_air_mean_200,2023-12-05T02:00:00+00:00,275.55,
K2635,large,temperature_air_mean_200,2023-12-05T03:00:00+00:00,275.85,
K2635,large,temperature_air_mean_200,2023-12-05T04:00:00+00:00,276.15,
K2635,large,temperature_air_mean_200,2023-12-05T05:00:00+00:00,276.65,
K2635,large,temperature_air_mean_200,2023-12-05T06:00:00+00:00,276.85,
K2635,large,temperature_air_mean_200,2023-12-05T07:00:00+00:00,277.05,
K2635,large,temperature_air_mean_200,2023-12-05T08:00:00+00:00,277.45,
K2635,large,temperature_air_mean_200,2023-12-05T09:00:00+00:00,277.95,
K2635,large,temperature_air_mean_200,2023-12-05T10:00:00+00:00,278.25,
K2635,large,temperature_air_mean_200,2023-12-05T11:00:00+00:00,278.45,
K2635,large,temperature_air_mean_200,2023-12-05T12:00:00+00:00,278.65,
K2635,large,temperature_air_mean_200,2023-12-05T13:00:00+00:00,278.65,
K2635,large,temperature_air_mean_200,2023-12-05T14:00:00+00:00,278.45,
K2635,large,temperature_air_mean_200,2023-12-05T15:00:00+00:00,278.25,
K2635,large,temperature_air_mean_200,2023-12-05T16:00:00+00:00,277.95,
K2635,large,temperature_air_mean_200,2023-12-05T17:00:00+00:00,277.65,
K2635,large,temperature_air_mean_200,2023-12-05T18:00:00+00:00,277.75,
K2635,large,temperature_air_mean_200,2023-12-05T19:00:00+00:00,277.55,
K2635,large,temperature_air_mean_200,2023-12-05T20:00:00+00:00,277.55,
K2635,large,temperature_air_mean_200,2023-12-05T21:00:00+00:00,277.55,
K2635,large,temperature_air_mean_200,2023-12-05T22:00:00+00:00,277.45,
K2635,large,temperature_air_mean_200,2023-12-05T23:00:00+00:00,277.55,
K2635,large,temperature_air_mean_200,2023-12-06T00:00:00+00:00,277.55,
K2635,large,temperature_air_mean_200,2023-12-06T01:00:00+00:00,277.45,
K2635,large,temperature_air_mean_200,2023-12-06T02:00:00+00:00,277.25,
K2635,large,temperature_air_mean_200,2023-12-06T03:00:00+00:00,277.25,
K2635,large,temperature_air_mean_200,2023-12-06T04:00:00+00:00,277.15,
K2635,large,temperature_air_mean_200,2023-12-06T05:00:00+00:00,277.05,
K2635,large,temperature_air_mean_200,2023-12-06T06:00:00+00:00,276.85,
K2635,large,temperature_air_mean_200,2023-12-06T07:00:00+00:00,276.95,
K2635,large,temperature_air_mean_200,2023-12-06T08:00:00+00:00,277.05,
